 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T35F28  92382  350   19.65   90.53   21.42   9.4   8.4   2.1   1.4   1.3
T35F27  92382  327   17.72  100.83   25.27   5.4   4.9   1.5   1.0   0.8
T35F23  92382  227   17.64   60.79   34.47   4.3   3.9   1.7   1.0   0.8
T33F39  82082 2348   24.31   35.10   34.75   7.3   6.6   2.7   1.6   1.4
T33F25  72482  133   27.12   35.54   23.84   8.1   6.8   1.7   1.2   1.1
T32F51  72282 2256    1.02    0.00   25.00   7.7   6.8   2.6   1.7   1.4
T32F40  72182  144   29.04  103.90   22.44  10.8   9.1   2.1   1.4   1.4
T32F39  72182  123   23.95   91.16   23.93  10.4   8.8   2.4   1.5   1.4
T32F34  72082 2335   30.17   54.23   26.17  10.3   8.6   2.3   1.5   1.4
T32F33  72082 2319   25.39   67.24   25.68  10.5   8.8   2.5   1.6   1.4
T32F30  72082 2206   20.50   86.81   20.98   9.8   8.3   2.1   1.4   1.3
T32F26  62382   27   20.08    1.73   23.30  11.7   5.5   1.5   1.0   0.9
T32F24  62282 2355   20.02    2.91   23.60  13.5   6.6   1.8   1.2   1.1
T32F12  61782   58   26.25   78.15   22.24  12.8  10.8   2.6   1.8   1.6
T32F11  61782   32   18.61   47.44   23.20  12.0  10.2   2.8   1.8   1.7
T32F10  61782   15   22.25   95.73   23.55  11.9  10.1   2.7   1.8   1.6
T32F09  61682 2353   17.16   93.41   23.66  11.1   9.4   2.7   1.7   1.6
T32F08  61682 2334   18.98   42.45   23.44  12.0  10.2   2.8   1.9   1.7
T32F06  61682 2255   18.55 -161.49   22.11  10.3   8.7   2.3   1.5   1.4
T32F05  61682 2233   17.64 -124.65   20.85  11.8  10.0   2.5   1.7   1.6
T31F34  22782  408    0.61    0.00   27.83   8.0   7.2   2.7   1.7   1.4
T31F26  22782  211    0.49    0.00   46.48   4.3   3.9   3.5   2.0   1.4
T31F25  22682 2154    0.25    0.00   44.47   4.5   4.1   3.4   2.0   1.4
T31F18  22682 2021    0.15    0.00   29.49   5.8   5.3   2.4   1.5   1.2
T30F37  22082 2210    2.08  -45.28   48.40   3.5   3.1   3.0   1.7   1.2
T30F15  12682  204    0.25    0.00   55.86   2.2   2.0   2.8   1.5   1.0
T42F50 110583  309   12.59 -162.72   38.04   5.5   5.0   2.7   1.6   1.2
T42F49 110583  242   24.08  -47.99   42.73   6.1   5.5   3.2   1.8   1.4
T42F46 110583  150    9.99   78.93   51.12   2.2   2.0   2.0   1.1   0.8
T42F42 110583   39   10.12   16.10   59.87   3.1   2.8   4.0   2.1   1.4
T42F36 110483 2230   30.27   96.22   58.64   3.2   2.9   2.8   1.5   1.1
T42F35 110483 2217   27.92   93.05   57.21   3.1   2.8   2.7   1.5   1.0
T42F32 110483 2116   14.84   80.61   48.68   4.6   4.1   3.5   1.9   1.4
T42F29 110483 2039   16.90   45.18   42.58   5.7   5.1   3.3   1.8   1.4
T42F28 110483 2028   16.75   37.39   40.69   7.6   6.9   4.2   2.4   1.8
T42F12 100583 2334   29.36   66.39   51.85   4.9   4.4   3.4   1.9   1.4
T42F11 100583 2244   12.99 -160.53   49.56   3.4   3.0   2.7   1.5   1.0
T41F51  71383  213   19.12   -6.95   18.56  10.4   3.5   0.8   0.5   0.5
T41F50  71383  159   19.76   -1.41   19.84  10.9   3.3   0.8   0.5   0.5
T41F45  71383    4   28.93 -171.43   25.13   9.6   8.1   2.1   1.4   1.3
T41F44  71283 2343   29.70  179.82   24.97   9.8   8.2   2.1   1.4   1.3
T41F34  70883   41   20.92   43.47   23.89  12.2  11.0   3.1   2.0   1.8
T41F26  70783  209   28.56   49.47   18.18  16.2  14.5   2.9   2.1   2.0
T41F11  70683  218   23.09   55.86   17.20  16.3  14.7   3.0   2.1   2.1
T41F10  70683  159   23.55   47.77   18.97  14.6  13.1   2.9   2.0   1.9
T41F09  70683  139   24.56   40.97   20.59  15.0  13.3   3.1   2.1   2.0
T41F08  70683  118   25.92   35.69   21.99  12.8  11.1   2.6   1.8   1.7
T41F07  70683  106   27.72   39.05   22.65  12.5  11.2   2.7   1.8   1.7
T41F05  70683   41   27.93   26.59   23.68  14.6  13.1   3.3   2.2   2.0
T41F04  70683   19   28.58   14.08   24.18  13.7  11.6   3.0   2.0   1.8
T40F31  60883    2    1.43    0.00   24.23  12.6   6.7   2.1   1.4   1.2
T39F33  50983  240   26.49  -49.49   18.70  15.9  14.3   3.0   2.1   2.0
