1.6282693 7.464384 51.09562 24.07419 1.328657 31/01/06 07:32:57 14.13492       60 8041.221 7720.854
1.8974736 11.11072 63.23919 38.85469 -2.45866 31/01/06 07:24:24 -7.66091       60 6460.960 5720.044
1.8903856 11.11242 63.23272 38.74489 -2.43862 31/01/06 07:25:35 -7.66029       60 6454.609 5717.944
1.8747560 11.11228 63.23336 38.63711 -2.41886 31/01/06 07:26:47 -7.65966       60 6448.152 5715.873
1.8639049 11.11230 63.23384 38.52833 -2.39882 31/01/06 07:27:59 -7.65903       60 6441.360 5713.480
1.8712470 11.10950 63.24154 37.96603 -2.29360 31/01/06 07:34:17 -7.65456       60 6402.944 5698.186
1.8497587 11.11225 63.23301 37.86210 -2.27384 31/01/06 07:35:27 -7.65392       60 6394.762 5693.895
1.8778889 11.11245 63.23325 37.75582 -2.25352 31/01/06 07:36:40 -7.65327       60 6386.341 5689.738
1.8475638 11.11222 63.23342 37.65158 -2.23348 31/01/06 07:37:53 -7.65261       60 6377.983 5685.632
2.7904718 10.90605 57.91493 26.87659 0.701577 02/02/06 10:13:24 -6.63305       60 4126.850 3845.404
4.6652992 10.90615 57.91444 32.85583 1.984672 02/02/06 11:30:12 -6.55123       60 2317.898 2035.228
7.2873672 10.90423 57.91853 38.62032 2.830386 02/02/06 12:20:51 -6.49859       60 1292.066 1047.602
3.5612416 11.10679 63.22198 32.86792 1.087235 02/02/06 10:48:50 -6.79325       60 3117.826 2768.868
3.5947808 11.11206 63.22854 32.92710 1.106998 02/02/06 10:50:01 -6.79250       60 3089.423 2741.590
3.6383703 11.11230 63.22919 32.98893 1.127318 02/02/06 10:51:15 -6.79176       60 3062.320 2715.285
3.6788239 11.11237 63.22966 33.05088 1.147360 02/02/06 10:52:27 -6.79100       60 3035.661 2689.406
3.8264254 11.10916 63.22517 33.39438 1.253414 02/02/06 10:58:48 -6.78580       60 2896.216 2553.945
3.8879221 11.11243 63.22865 33.53191 1.293776 02/02/06 11:01:13 -6.78431       60 2841.566 2501.209
3.9086556 11.11234 63.22885 33.60060 1.313539 02/02/06 11:02:23 -6.78358       60 2815.488 2475.940
5.0527659 11.11062 63.22464 35.93751 1.884999 02/02/06 11:36:37 -6.74534       60 2080.538 1769.770
5.1050060 11.11223 63.22933 36.03073 1.905041 02/02/06 11:37:49 -6.74465       60 2055.258 1745.867
5.1589059 11.11220 63.22888 36.12332 1.924804 02/02/06 11:38:59 -6.74328       60 2030.904 1722.772
5.2195258 11.11232 63.22840 36.21921 1.945123 02/02/06 11:40:13 -6.74260       60 2005.915 1699.114
5.2802801 11.11230 63.22897 36.31448 1.965165 02/02/06 11:41:25 -6.74190       60 1981.398 1675.905
5.3262498 11.11223 63.22777 36.41041 1.985206 02/02/06 11:42:36 -6.74123       60 1956.994 1652.843
5.3861322 11.11216 63.22803 36.50566 2.004969 02/02/06 11:43:48 -6.74055       60 1933.021 1630.197
5.4370057 11.11223 63.22828 36.60426 2.025288 02/02/06 11:45:01 -6.73919       60 1908.435 1607.013
5.4851114 11.11246 63.22887 36.70216 2.045330 02/02/06 11:46:13 -6.73852       60 1884.244 1584.240
5.5490635 11.11225 63.22862 36.79933 2.065093 02/02/06 11:47:23 -6.73785       60 1860.611 1561.987
5.5871248 11.11242 63.22811 36.89989 2.085412 02/02/06 11:48:37 -6.73718       60 1836.315 1539.177
5.6768343 11.11224 63.22882 36.99970 2.105453 02/02/06 11:49:49 -6.73650       60 1812.550 1516.849
6.9552961 11.11221 63.22864 38.87936 2.463131 02/02/06 12:11:14 -6.70835       60 1407.896 1142.091
6.9870890 11.11226 63.22861 38.99131 2.483450 02/02/06 12:12:27 -6.70773       60 1386.174 1122.287
7.0592063 11.11221 63.22855 39.10224 2.503491 02/02/06 12:13:38 -6.70709       60 1364.918 1102.934
7.1607182 11.11214 63.22862 39.21366 2.523532 02/02/06 12:14:50 -6.70648       60 1343.814 1083.751
7.2340605 11.11204 63.22852 39.32401 2.543295 02/02/06 12:16:02 -6.70525       60 1323.155 1065.007
7.3250437 11.11216 63.22834 39.43796 2.563614 02/02/06 12:17:15 -6.70463       60 1302.021 1045.887
7.3877192 11.11242 63.22861 39.55082 2.583655 02/02/06 12:18:26 -6.70402       60 1281.304 1027.188
7.4854072 11.11237 63.22835 39.66257 2.603417 02/02/06 12:19:38 -6.70341       60 1261.089 1008.955
9.2451466 11.11224 63.22904 41.63835 2.941326 02/02/06 12:39:51 -6.69168       60 940.1106 724.6708
9.2996607 11.11232 63.22839 41.76075 2.961645 02/02/06 12:41:04 -6.69112       60 922.3779 709.2946
9.4306791 11.11242 63.22831 41.88183 2.981685 02/02/06 12:42:16 -6.69000       60 905.0727 694.3233
9.5702395 11.11217 63.22841 42.00326 3.001726 02/02/06 12:43:29 -6.68945       60 888.0012 679.5663
12.724078 11.11281 63.22045 45.13629 3.502175 02/02/06 13:13:26 -6.66006       60 523.8937 374.9892
12.763730 11.11223 63.22863 45.26700 3.522493 02/02/06 13:14:40 -6.65958       60 511.8370 365.2296
